Class,Support,Precision,Recall,F1,Specificity
D01,29,86.66666666666667,89.65517241379311,88.13559322033899,99.9098489970701
D02,29,89.65517241379311,89.65517241379311,89.65517241379311,99.93238674780257
D03,29,86.66666666666667,89.65517241379311,88.13559322033899,99.9098489970701
D04,29,92.5925925925926,86.20689655172413,89.28571428571429,99.95492449853505
D05,145,100.0,100.0,100.0,100.0
D06,145,100.0,100.0,100.0,100.0
D07,145,95.77464788732394,93.79310344827586,94.77351916376307,99.86114325387642
D08,145,92.51700680272108,93.79310344827586,93.15068493150685,99.74542929877343
D09,145,95.77464788732394,93.79310344827586,94.77351916376307,99.86114325387642
D10,145,91.94630872483222,94.48275862068965,93.19727891156462,99.72228650775283
D11,145,100.0,100.0,100.0,100.0
D12,145,100.0,100.0,100.0,100.0
D13,145,100.0,100.0,100.0,100.0
D14,145,100.0,100.0,100.0,100.0
D15,145,100.0,100.0,100.0,100.0
D16,145,100.0,100.0,100.0,100.0
D17,145,88.65248226950354,86.20689655172413,87.4125874125874,99.62971534367044
D18,145,90.97222222222221,90.3448275862069,90.65743944636678,99.69914371673224
D19,145,92.85714285714286,89.65517241379311,91.2280701754386,99.76857208979403
F01,145,81.29496402877699,77.93103448275862,79.5774647887324,99.39828743346447
F02,145,73.20261437908496,77.24137931034483,75.16778523489933,99.05114556815552
F03,145,76.15894039735099,79.3103448275862,77.7027027027027,99.16685952325851
F04,145,73.91304347826086,82.06896551724138,77.77777777777779,99.02800277713493
F05,145,75.0,80.6896551724138,77.7408637873754,99.09743115019671
F06,145,75.60975609756098,64.13793103448275,69.40298507462686,99.30571626938209
F07,145,79.72027972027972,78.62068965517241,79.16666666666666,99.32885906040269
F08,145,79.38931297709924,71.72413793103448,75.3623188405797,99.37514464244389
F09,145,73.41772151898735,80.0,76.56765676567656,99.02800277713493
F10,145,77.3972602739726,77.93103448275862,77.66323024054982,99.23628789632029
F11,145,76.0,78.62068965517241,77.28813559322035,99.16685952325851
F12,145,81.61764705882352,76.55172413793103,79.00355871886121,99.42143022448508
F13,145,78.2312925170068,79.3103448275862,78.76712328767124,99.25943068734088
F14,145,78.1456953642384,81.37931034482759,79.72972972972974,99.23628789632029
F15,145,83.57142857142857,80.6896551724138,82.10526315789474,99.46771580652627
