index,subject,y_true,y_pred,prob_fall
0,SA09,0,0,8.216836100416458e-09
1,SA09,0,0,7.589932238261099e-08
2,SA09,0,0,7.63269714099124e-09
3,SA09,0,0,2.8662772155740868e-09
4,SA09,0,0,7.511369304324944e-09
5,SA09,0,0,6.761901261143066e-08
6,SA09,0,0,2.1746311418269215e-08
7,SA09,0,0,1.9094666470209631e-07
8,SA09,0,0,1.6339545538812672e-07
9,SA09,0,0,5.256430668509893e-08
10,SA09,0,0,2.6185068335848882e-08
11,SA09,0,0,3.6493243982249624e-08
12,SA09,0,0,6.427880805404129e-08
13,SA09,0,0,2.9691167924283945e-07
14,SA09,0,0,5.965854654732539e-08
15,SA09,0,0,5.485645147018658e-07
16,SA09,0,0,2.3463242371235538e-07
17,SA09,0,0,4.702613125573407e-07
18,SA09,0,0,9.203647621802702e-09
19,SA09,0,0,1.5074322234909232e-08
20,SA09,0,0,1.3544176624691318e-07
21,SA09,0,0,5.304917749526794e-07
22,SA09,0,0,1.2788294156962365e-07
23,SA09,0,0,1.815912611391468e-07
24,SA09,0,0,9.400330895914522e-07
25,SA09,0,0,6.542980486301531e-07
26,SA09,0,0,3.601502100991638e-07
27,SA09,0,0,5.684238999492663e-07
28,SA09,0,0,1.4435283901548246e-07
29,SA09,0,0,3.16478185879987e-08
30,SA09,0,0,1.4930961356185435e-08
31,SA09,0,0,3.448823804319545e-07
32,SA09,0,0,4.033206266740308e-07
33,SA09,0,0,2.470953006650234e-07
34,SA09,0,0,6.331350554944493e-09
35,SA09,0,0,1.904025381804786e-08
36,SA09,0,0,2.3156187012318696e-07
37,SA09,0,0,4.807773734682996e-07
38,SA09,0,0,4.1428850749980484e-07
39,SA09,0,0,1.4779635648665135e-07
40,SA09,0,0,3.045428087489199e-08
41,SA09,0,0,1.068136779025508e-08
42,SA09,0,0,2.7439726935085673e-08
43,SA09,0,0,4.790875252069782e-08
44,SA09,0,0,7.258945800003858e-08
45,SA09,0,0,1.556224731302791e-07
46,SA09,0,0,9.481581741965783e-08
47,SA09,0,0,6.5231531287679445e-09
48,SA09,0,0,5.66387958755854e-09
49,SA09,0,0,2.127190201761664e-09
50,SA09,0,0,9.409640178148493e-09
51,SA09,0,0,7.351726782900414e-09
52,SA09,0,0,2.0791320665125568e-08
53,SA09,0,0,7.230617882214574e-08
54,SA09,0,0,3.0278609841616344e-08
55,SA09,0,0,5.7851512025308693e-08
56,SA09,0,0,1.6357850540771324e-07
57,SA09,0,0,7.226702791740536e-08
58,SA09,0,0,3.1840354353107614e-08
59,SA09,0,0,4.623987237550864e-08
60,SA09,0,0,1.887091087837689e-07
61,SA09,0,0,2.6893909321756837e-08
62,SA09,0,0,5.358885335482455e-09
63,SA09,0,0,5.832168081809641e-09
64,SA09,0,0,2.0186105231800866e-08
65,SA09,0,0,9.309474080509972e-09
66,SA09,0,0,2.6305608358256904e-08
67,SA09,0,0,3.0938053896534257e-08
68,SA09,0,0,5.428627218861948e-07
69,SA09,0,0,3.087265838530584e-07
70,SA09,0,0,5.644370748569827e-09
71,SA09,0,0,3.0212312651656248e-09
72,SA09,0,0,1.321354248240425e-09
73,SA09,0,0,1.5424914678874302e-08
74,SA09,0,0,1.052839238013803e-08
75,SA09,0,0,1.1602545590960744e-08
76,SA09,0,0,1.89714199905211e-07
77,SA09,0,0,3.8613534343312494e-06
78,SA09,0,0,6.404708301488427e-07
79,SA09,0,0,3.856146690850437e-07
80,SA09,0,0,7.312153229577234e-07
81,SA09,0,0,4.372228943338996e-07
82,SA09,0,0,6.332475663839432e-07
83,SA09,0,0,7.78081357566407e-07
84,SA09,0,0,2.239197328890441e-06
85,SA09,0,0,3.91359662899049e-06
86,SA09,0,0,1.8333533944314695e-06
87,SA09,0,0,4.453372355328611e-07
88,SA09,0,0,7.320125405385625e-06
89,SA09,0,0,3.914794888260076e-06
90,SA09,0,0,2.6849274945561774e-06
91,SA09,0,0,6.21171056991443e-06
92,SA09,0,0,2.5606229883123888e-06
93,SA09,0,0,2.125694209098583e-06
94,SA09,0,0,2.40199165091326e-06
95,SA09,0,0,2.274243797728559e-07
96,SA09,0,0,4.157838588980667e-07
97,SA09,0,0,4.544915839232999e-07
98,SA09,0,0,1.1205661394342314e-06
99,SA09,0,0,2.387780284607288e-07
100,SA09,0,0,4.837668825530272e-07
101,SA09,0,0,9.878283435682533e-07
102,SA09,0,0,8.715227863831387e-07
103,SA09,0,0,6.641442382715468e-07
104,SA09,0,0,2.67315442670224e-07
105,SA09,0,0,1.8157672343477316e-07
106,SA09,0,0,2.6451829171492136e-07
107,SA09,0,0,3.899332341461559e-07
108,SA09,0,0,1.265937044081511e-06
109,SA09,0,0,1.3854293001713813e-06
110,SA09,0,0,4.6824658284094767e-07
111,SA09,0,0,6.576649411726976e-07
112,SA09,0,0,1.695715781124818e-07
113,SA09,0,0,5.568977030634414e-07
114,SA09,0,0,3.3190616477440926e-07
115,SA09,0,0,7.345253720814071e-07
116,SA09,0,0,1.570256358718325e-06
117,SA09,0,0,1.675891098784632e-06
118,SA09,0,0,9.828189604377258e-07
119,SA09,0,0,2.4497936124134867e-07
120,SA09,0,0,1.5238761079672258e-06
121,SA09,0,0,2.001316715904977e-06
122,SA09,0,0,3.5019425581594987e-07
123,SA09,0,0,1.0713380333982059e-06
124,SA09,0,0,5.256641770756687e-07
125,SA09,0,0,1.4136830941424705e-06
126,SA09,0,0,2.7236742994318774e-07
127,SA09,0,0,2.2915017439117946e-07
128,SA09,0,0,5.927161055296892e-06
129,SA09,0,0,9.60441184361116e-07
130,SA09,0,0,2.7341675945535826e-07
131,SA09,0,0,1.782829031071742e-07
132,SA09,0,0,3.5974031220575853e-07
133,SA09,0,0,1.7539439056690753e-07
134,SA09,0,0,3.7967825505802466e-07
135,SA09,0,0,9.767009601091559e-08
136,SA09,0,0,7.804128188126924e-08
137,SA09,0,0,6.547637099174608e-08
138,SA09,0,0,1.1088263818237465e-07
139,SA09,0,0,5.282084316604596e-07
140,SA09,0,0,1.613151835044846e-05
141,SA09,0,0,1.8729391513261362e-06
142,SA09,0,0,8.228121259890031e-07
143,SA09,0,0,4.904796355731378e-07
144,SA09,0,0,4.237386406202859e-07
145,SA09,0,0,8.78665673553769e-07
146,SA09,0,0,3.3449276770625147e-07
147,SA09,0,0,1.0711654567785445e-06
148,SA09,0,0,1.1678542932713754e-06
149,SA09,0,0,7.34704713067913e-07
150,SA09,0,0,7.743807941551495e-07
151,SA09,0,0,1.1390397958166432e-06
152,SA09,0,0,4.736278924610815e-07
153,SA09,0,0,6.040077664692944e-07
154,SA09,0,0,2.2169009753270075e-05
155,SA09,0,0,8.750400593271479e-05
156,SA09,0,0,9.830888302531093e-05
157,SA09,0,0,0.00011952446948271245
158,SA09,0,0,2.160333315259777e-05
159,SA09,0,0,2.7111748295283178e-06
160,SA09,0,0,3.866664144425158e-07
161,SA09,0,0,4.357696639090136e-07
162,SA09,0,0,7.640572334821627e-07
163,SA09,0,0,8.508789051120402e-08
164,SA09,0,0,1.4771407563785033e-07
165,SA09,0,0,2.6074533820974466e-07
166,SA09,0,0,8.56015219596884e-07
167,SA09,0,0,4.873863304055703e-07
168,SA09,0,0,3.4310497198930534e-07
169,SA09,0,0,3.5490421623762813e-07
170,SA09,0,0,2.1377303482950083e-07
171,SA09,0,0,3.480155328361434e-07
172,SA09,0,0,1.645345975020973e-07
173,SA09,0,0,2.6321126256334537e-07
174,SA09,0,0,2.015609652517014e-06
175,SA09,0,0,4.722558969660895e-06
176,SA09,0,0,1.1876896905960166e-06
177,SA09,0,0,1.1132298993743461e-07
178,SA09,0,0,1.971218495100402e-07
179,SA09,0,0,1.5658672509744065e-06
180,SA09,0,0,5.162277375347912e-06
181,SA09,0,0,2.243012431790703e-06
182,SA09,0,0,9.73208443610929e-07
183,SA09,0,0,2.14071815207717e-06
184,SA09,0,0,1.6350128362319083e-06
185,SA09,0,0,5.203916316531831e-06
186,SA09,0,0,5.519971750800323e-07
187,SA09,0,0,6.914804657753848e-07
188,SA09,0,0,4.033414029436244e-07
189,SA09,0,0,1.512101022171919e-07
190,SA09,0,0,2.7184478312847205e-07
191,SA09,0,0,2.388290454291564e-07
192,SA09,0,0,2.138121715233865e-07
193,SA09,0,0,1.0478427157067927e-06
194,SA09,0,0,3.5017853861063486e-07
195,SA09,0,0,1.549105235199022e-07
196,SA09,0,0,3.129337642349128e-07
197,SA09,0,0,3.916256048341893e-07
198,SA09,0,0,1.5921848728339683e-07
199,SA09,0,0,1.128316966969578e-06
200,SA09,0,0,1.1923002318781073e-07
201,SA09,0,0,2.522364184187609e-07
202,SA09,0,0,1.2788967751475866e-06
203,SA09,0,0,1.3528607212265342e-07
204,SA09,0,0,1.4980675189235626e-07
205,SA09,0,0,2.761294126685243e-07
206,SA09,0,0,9.14867683832199e-08
207,SA09,0,0,1.799327264961903e-07
208,SA09,0,0,3.6623504229282844e-07
209,SA09,0,0,3.208403143162286e-07
210,SA09,0,0,1.3224765780250891e-06
211,SA09,0,0,3.435951612118515e-07
212,SA09,0,0,4.928371595269709e-07
213,SA09,0,0,2.842138258074556e-07
214,SA09,0,0,7.590351174258103e-07
215,SA09,0,0,9.62222543421376e-07
216,SA09,0,0,9.790610420168377e-07
217,SA09,0,0,3.5463460790197132e-06
218,SA09,0,0,4.307121059810015e-07
219,SA09,0,0,6.102173415456491e-07
220,SA09,0,0,7.849089342926163e-07
221,SA09,0,0,5.380558718570683e-07
222,SA09,0,0,2.67840619017079e-07
223,SA09,0,0,2.545157826716604e-07
224,SA09,0,0,1.5797128583017184e-07
225,SA09,0,0,3.308708187432785e-07
226,SA09,0,0,4.810910922969924e-07
227,SA09,0,0,1.318014000162293e-07
228,SA09,0,0,2.779712531264522e-07
229,SA09,0,0,2.23878870997396e-07
230,SA09,0,0,1.3801199827412347e-07
231,SA09,0,0,0.00013464849325828254
232,SA09,0,0,7.94881816545967e-06
233,SA09,0,0,1.7924176063388586e-05
234,SA09,0,0,2.9994545911904424e-05
235,SA09,0,0,4.3078703129140195e-06
236,SA09,0,0,3.725491239947587e-07
237,SA09,0,0,5.778578042736626e-07
238,SA09,0,0,4.252001417626161e-06
239,SA09,0,0,1.243882365997706e-06
240,SA09,0,0,1.2514844911493128e-06
241,SA09,0,0,4.79342088510748e-06
242,SA09,0,0,4.3926465878030285e-06
243,SA09,0,0,8.348303026650683e-07
244,SA09,0,0,1.1019926660083001e-06
245,SA09,0,0,7.861112294449413e-07
246,SA09,0,0,2.6588959372020327e-06
247,SA09,0,0,2.676189978956245e-06
248,SA09,0,0,9.405834134668112e-06
249,SA09,0,0,8.4881403381587e-06
250,SA09,0,0,8.491828111800714e-07
251,SA09,0,0,4.418835942487931e-06
252,SA09,0,0,7.625797024957137e-06
253,SA09,0,0,1.694362595117127e-06
254,SA09,0,0,1.986941697396105e-06
255,SA09,0,0,3.926572844648035e-06
256,SA09,0,0,3.4039667298202403e-06
257,SA09,0,0,2.6768484531203285e-06
258,SA09,0,0,7.207022918009898e-06
259,SA09,0,0,6.300997029029531e-06
260,SA09,0,0,1.7497084172646282e-06
261,SA09,0,0,4.959253487868409e-07
262,SA09,0,0,3.112876584054902e-06
263,SA09,0,0,4.92840899823932e-06
264,SA09,0,0,3.201597564839176e-06
265,SA09,0,0,7.51385016428685e-07
266,SA09,0,0,2.296195134476875e-06
267,SA09,0,0,1.5096239849299309e-06
268,SA09,0,0,1.3687521231986466e-06
269,SA09,0,0,1.5815127198948176e-06
270,SA09,0,0,6.336613864732499e-07
271,SA09,0,0,9.891717809296097e-07
272,SA09,0,0,1.9638887351902667e-06
273,SA09,0,0,2.305439238625695e-06
274,SA09,0,0,3.831034064205596e-06
275,SA09,0,0,9.850448350334773e-07
276,SA09,0,0,3.450811846050783e-06
277,SA09,0,0,1.2063598660461139e-05
278,SA09,0,0,4.297407031117473e-06
279,SA09,0,0,5.232620878814487e-06
280,SA09,0,0,6.125301297288388e-06
281,SA09,0,0,3.579895064831362e-06
282,SA09,0,0,2.163144927180838e-06
283,SA09,0,0,8.169034799720976e-07
284,SA09,0,0,3.0628334570792504e-06
285,SA09,0,0,8.682039151608478e-06
286,SA09,0,0,1.0521242074901238e-05
287,SA09,0,0,4.167352017248049e-06
288,SA09,0,0,1.78497225533647e-06
289,SA09,0,0,8.130538844852708e-06
290,SA09,0,0,9.002660954138264e-05
291,SA09,0,0,1.2453882845875341e-05
292,SA09,0,0,6.865497653052444e-06
293,SA09,0,0,1.816567782952916e-05
294,SA09,0,0,7.398582511086715e-06
295,SA09,0,0,4.6137201934470795e-06
296,SA09,0,0,3.857591764244717e-06
297,SA09,0,0,2.5933229608199326e-06
298,SA09,0,0,8.522630196239334e-06
299,SA09,0,0,1.276747843803605e-05
300,SA09,0,0,1.3616275282402057e-05
301,SA09,0,0,3.8352751289494336e-05
302,SA09,0,0,7.25301879356266e-06
303,SA09,0,0,2.9044108487141784e-06
304,SA09,0,0,9.401672286912799e-06
305,SA09,0,0,1.8466631445335224e-05
306,SA09,0,0,5.5367818276863545e-06
307,SA09,0,0,6.185717666085111e-06
308,SA09,0,0,2.5266331249440555e-06
309,SA09,0,0,1.1218310646654572e-05
310,SA09,0,0,0.00020656638662330806
311,SA09,0,0,0.0005980488494969904
312,SA09,0,0,4.6863104216754436e-05
313,SA09,0,0,8.11072823125869e-06
314,SA09,0,0,9.677399248175789e-06
315,SA09,0,0,1.4382972040039022e-06
316,SA09,0,0,1.2882345856723987e-08
317,SA09,0,0,1.0476728675712366e-06
318,SA09,0,0,4.9389676348710054e-08
319,SA09,0,0,1.7810599217682466e-07
320,SA09,0,0,2.476623012626078e-05
321,SA09,0,0,0.0005217966390773654
322,SA09,0,0,0.00042865649447776377
323,SA09,0,0,9.6436298917979e-05
324,SA09,0,0,1.2754644558299333e-06
325,SA09,0,0,3.355407045546599e-07
326,SA09,0,0,0.010943484492599964
327,SA09,0,0,0.0001957334898179397
328,SA09,0,0,0.0007766300113871694
329,SA09,0,0,0.0004337774298619479
330,SA09,0,0,1.664399133005645e-05
331,SA09,0,0,0.00028103665681555867
332,SA09,0,0,0.0003809031913988292
333,SA09,0,0,0.00031446374487131834
334,SA09,0,0,1.5642507378288428e-07
335,SA09,0,0,1.1274668310079505e-07
336,SA09,0,0,4.472738623917394e-08
337,SA09,0,0,7.664268650842132e-07
338,SA09,0,0,3.528116849338403e-06
339,SA09,0,0,0.00010149280569748953
340,SA09,0,0,7.220940005936427e-06
341,SA09,0,0,5.684678399120457e-07
342,SA09,0,0,4.8177980715991e-07
343,SA09,0,0,8.811447514744941e-06
344,SA09,0,0,7.952311698034009e-09
345,SA09,0,0,5.6853673413570505e-06
346,SA09,0,0,1.4504306818707846e-05
347,SA09,0,0,4.959691978001501e-06
348,SA09,0,0,3.8366288208635524e-05
349,SA09,0,0,1.1602383892750368e-05
350,SA09,0,0,7.444786660926184e-06
351,SA09,0,0,5.4952019127085805e-05
352,SA09,0,0,0.0008975163218565285
353,SA09,0,0,0.001753525692038238
354,SA09,0,0,3.164601025673619e-07
355,SA09,0,0,4.599691649787019e-08
356,SA09,0,0,9.937698450812604e-07
357,SA09,0,0,1.2397184718793142e-06
358,SA09,0,0,2.4279441390717693e-07
359,SA09,0,0,3.704030405060621e-06
360,SA09,0,0,3.7345565942814574e-05
361,SA09,0,0,3.0834762583253905e-05
362,SA09,0,0,5.19236818945501e-05
363,SA09,0,0,0.002052965806797147
364,SA09,0,0,0.008475884795188904
365,SA09,0,0,0.013394411653280258
366,SA09,0,0,0.022489143535494804
367,SA09,0,0,0.007411308586597443
368,SA09,0,0,0.00348275201395154
369,SA09,0,0,7.374691222139518e-07
370,SA09,0,0,7.367856103002168e-09
371,SA09,0,0,6.709638711299704e-08
372,SA09,0,0,7.744783943053335e-06
373,SA09,0,0,6.77712814649567e-05
374,SA09,0,0,7.235307566588745e-05
375,SA09,0,0,3.5528966691344976e-05
376,SA09,0,0,1.9757817426580004e-06
377,SA09,0,0,1.7860863010810135e-07
378,SA09,0,0,1.2978518498130143e-05
379,SA09,0,0,2.228308585472405e-05
380,SA09,0,0,5.438564403448254e-05
381,SA09,0,0,0.0013039079494774342
382,SA09,0,0,5.265593790682033e-05
383,SA09,0,0,0.0003665219119284302
384,SA09,0,0,2.2971475118538365e-05
385,SA09,0,0,0.0002639289014041424
386,SA09,0,0,0.002026911359280348
387,SA09,0,0,0.0004059929051436484
388,SA09,0,0,4.833970024265e-07
389,SA09,0,0,4.1303785280888405e-08
390,SA09,0,0,1.652618486502888e-08
391,SA09,0,0,4.1957866869779537e-07
392,SA09,0,0,4.049203198519535e-06
393,SA09,0,0,4.355698183644563e-05
394,SA09,0,0,3.776192158966296e-07
395,SA09,0,0,9.295430345446221e-07
396,SA09,0,0,1.9603621126407234e-07
397,SA09,0,0,5.068977770861238e-07
398,SA09,0,0,5.186439580029401e-07
399,SA09,0,0,3.88042681152001e-05
400,SA09,0,0,5.678452907886822e-07
401,SA09,0,0,7.461603672709316e-06
402,SA09,0,0,2.5502593814508145e-08
403,SA09,0,0,1.736277772579342e-05
404,SA09,0,0,4.589672607835382e-05
405,SA09,0,0,1.115218537961482e-06
406,SA09,0,0,0.0006344561115838587
407,SA09,0,0,0.0005456590442918241
408,SA09,0,0,0.012869350612163544
409,SA09,0,0,0.0006490858504548669
410,SA09,0,0,7.363211625488475e-05
411,SA09,0,0,9.88848478300497e-05
412,SA09,0,0,8.245594653999433e-05
413,SA09,0,0,9.331973706139252e-05
414,SA09,0,0,0.00013253040378913283
415,SA09,0,0,0.0002518131223041564
416,SA09,0,0,0.00013953623420093209
417,SA09,0,0,4.506053664954379e-05
418,SA09,0,0,4.2172447933808144e-07
419,SA09,0,0,3.647554331109859e-05
420,SA09,0,0,1.3688611034012865e-05
421,SA09,0,0,2.7742480313008855e-08
422,SA09,0,0,0.000420810014475137
423,SA09,0,0,4.9041037897268325e-08
424,SA09,0,0,3.0206103929231176e-06
425,SA09,0,0,7.067594196996652e-06
426,SA09,0,0,2.470731601533771e-07
427,SA09,0,0,0.0001347791258012876
428,SA09,0,0,0.00014444900443777442
429,SA09,0,0,0.00015191332204267383
430,SA09,0,0,0.0003424768801778555
431,SA09,0,0,0.00043848322820849717
432,SA09,0,0,0.00031437352299690247
433,SA09,0,0,0.0005712165730074048
434,SA09,0,0,3.29282738675829e-05
435,SA09,0,0,4.892620836471906e-06
436,SA09,0,0,3.1219591619446874e-05
437,SA09,0,0,5.850292382092448e-06
438,SA09,0,0,8.501648949277296e-07
439,SA09,0,0,0.0004627709568012506
440,SA09,0,0,0.0002548584307078272
441,SA09,0,0,0.00046828636550344527
442,SA09,0,0,2.799657522700727e-06
443,SA09,0,0,1.2421431165421382e-05
444,SA09,0,0,1.3541941370931454e-05
445,SA09,0,0,4.034834273625165e-05
446,SA09,0,0,7.833346899133176e-05
447,SA09,0,0,0.00011614196409936994
448,SA09,0,0,7.466687384294346e-05
449,SA09,0,0,9.51068868744187e-05
450,SA09,0,0,9.908222273224965e-05
451,SA09,0,0,5.968808909528889e-05
452,SA09,0,0,3.645596370915882e-05
453,SA09,0,0,1.352085661210367e-07
454,SA09,0,0,3.0702442472829716e-06
455,SA09,0,0,5.0920854846481234e-05
456,SA09,0,0,1.775657892721938e-06
457,SA09,0,0,0.0004765352059621364
458,SA09,0,0,0.0017088181339204311
459,SA09,0,0,8.365302051061008e-07
460,SA09,0,0,3.393398628759314e-08
461,SA09,0,0,1.6262916915366077e-06
462,SA09,0,0,1.69384250625626e-07
463,SA09,0,0,0.0011883220868185163
464,SA09,0,0,0.0005599195137619972
465,SA09,0,0,6.8597187237173785e-06
466,SA09,0,0,1.887651887955144e-05
467,SA09,0,0,6.104935891926289e-05
468,SA09,0,0,2.6938043447444215e-05
469,SA09,0,0,5.7500667026033625e-05
470,SA09,0,0,0.00012321701797191054
471,SA09,0,0,2.4216773454099894e-05
472,SA09,0,0,2.314363200639491e-06
473,SA09,0,0,0.0001580494863446802
474,SA09,0,0,0.00011101589188911021
475,SA09,0,0,3.724789712578058e-05
476,SA09,0,0,1.6738445992814377e-05
477,SA09,0,0,3.109055614913814e-05
478,SA09,0,0,1.463833712023188e-07
479,SA09,0,0,6.536851287819445e-05
480,SA09,0,0,8.146378604578786e-06
481,SA09,0,0,6.896473496453837e-05
482,SA09,0,0,0.00020897651847917587
483,SA09,0,0,0.0001973702892428264
484,SA09,0,0,0.00012808546307496727
485,SA09,0,0,5.894646164961159e-05
486,SA09,0,0,0.00023511049221269786
487,SA09,0,0,0.00023977142700459808
488,SA09,0,0,3.1286968571464513e-09
489,SA09,0,0,3.144804594512607e-08
490,SA09,0,0,5.302631223003118e-08
491,SA09,0,0,7.624858255894651e-08
492,SA09,0,0,2.2164634572163777e-09
493,SA09,0,0,4.092991723325667e-09
494,SA09,0,0,2.3908248714121783e-09
495,SA09,0,0,4.410201093207888e-09
496,SA09,0,0,4.391968122519074e-09
497,SA09,0,0,2.303812474124811e-09
498,SA09,0,0,4.4619085315389384e-08
499,SA09,0,0,1.2584598252374235e-08
